,title,left,right,director_name
0,Avatar,Avatar,James Cameron,James Cameron
1,The Lone Ranger,The Lone Ranger,Gore Verbinski,Gore Verbinski
2,Spectre,Spectre,Sam Mendes,Sam Mendes
3,The Dark Knight Rises,The Dark Knight Rises,Christopher Nolan,Christopher Nolan
4,Spider-Man 3,Spider-Man 3,Sam Raimi,Sam Raimi
5,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,Zack Snyder,Zack Snyder
6,Superman Returns,Superman Returns,Bryan Singer,Bryan Singer
7,Quantum of Solace,Quantum of Solace,Marc Forster,Marc Forster
8,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Gore Verbinski
9,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,Gore Verbinski,Gore Verbinski
