"title","director_name"
"Avatar","James Cameron"
"Avatar","Gore Verbinski"
"Avatar","Andrew Stanton"
"Avatar","Sam Raimi"
"Avatar","David Yates"
"Avatar","Bryan Singer"
"Avatar","Marc Forster"
"Avatar","Andrew Adamson"
"Avatar","Barry Sonnenfeld"
"Avatar","Ridley Scott"
"Avatar","Chris Weitz"
"Avatar","Colin Trevorrow"
"Avatar","Brett Ratner"
"Avatar","Joseph Kosinski"
"Avatar","John Lasseter"
"Avatar","McG"
"Avatar","Steven Spielberg"
"Avatar","Brenda Chapman"
"Avatar","Robert Zemeckis"
"Avatar","Lilly Wachowski"
"Avatar","Rob Cohen"
"Avatar","Tom Shadyac"
"Avatar","Kevin Reynolds"
"Avatar","Stephen Sommers"
"Avatar","Rupert Sanders"
"Avatar","Robert Stromberg"
"Avatar","Roland Joffé"
"Avatar","Carl Rinsch"
"Avatar","Mike Mitchell"
"Avatar","Brad Bird"
"Avatar","Chris Williams"
"Avatar","Chris Sanders"
"Avatar","Jonathan Mostow"
"Avatar","Hideaki Anno"
"Avatar","Francis Lawrence"
"Avatar","Wolfgang Petersen"
"Avatar","James Bobin"
"Avatar","Duncan Jones"
"Avatar","Alan Taylor"
"Avatar","Michael Apted"
"Avatar","Jan Pinkava"
"Avatar","Eric Darnell"
"Avatar","Shawn Levy"
"Avatar","Gavin Hood"
"Avatar","Kenneth Branagh"
"Avatar","Hoyt Yeatman"
"Avatar","Jonathan Liebesman"
"Avatar","Joe Johnston"
"Avatar","Steve Hickner"
"Avatar","Jennifer Yuh Nelson"
"Avatar","Simon Wells"
"Avatar","David Bowers"
"Avatar","Rob Minkoff"
"Avatar","Lee Tamahori"
"Avatar","Peter Ramsey"
"Avatar","Dean Parisot"
"Avatar","Edward Zwick"
"Avatar","Dean DeBlois"
"Avatar","Alex Proyas"
"Avatar","Richard Donner"
"Avatar","Ang Lee"
"Avatar","Breck Eisner"
"Avatar","Peter Weir"
"Avatar","Bill Condon"
"Avatar","Louis Leterrier"
"Avatar","David Soren"
"Avatar","Mark Osborne"
"Avatar","Tim Johnson"
"Avatar","Phillip Noyce"
"Avatar","Ralph Zondag"
"Avatar","Robert Schwentke"
"Avatar","Guy Ritchie"
"Avatar","John Woo"
"Avatar","Tim Story"
"Avatar","Mark Steven Johnson"
"Avatar","David Twohy"
"Avatar","Thomas Langmann"
"Avatar","Cedric Nicolas-Troyan"
"Avatar","Roger Donaldson"
"Avatar","Dave Green"
"Avatar","Josh Trank"
"Avatar","Brad Peyton"
"Avatar","Roger Spottiswoode"
"Avatar","Steven Soderbergh"
"Avatar","Rob Letterman"
"Avatar","Noam Murro"
"Avatar","Raja Gosnell"
"Avatar","Will Finn"
"Avatar","Len Wiseman"
"Avatar","Frank Coraci"
"Avatar","Bo Welch"
"Avatar","Peter Chelsom"
"Avatar","Dominic Sena"
"Avatar","Chuck Russell"
"Avatar","Chris Wedge"
"Avatar","Florian Henckel von Donnersmarck"
"Avatar","Peter Hyams"
"Avatar","Pitof"
"Avatar","Brad Silberling"
