"title","director_name"
"Avatar","James Cameron"
"Avatar","Jon Favreau"
"Avatar","Rupert Sanders"
"Avatar","Robert Stromberg"
"Avatar","Gavin Hood"
"Avatar","Alex Proyas"
"Avatar","Ang Lee"
"Avatar","Cedric Nicolas-Troyan"
"Avatar","Tarsem Singh"
"Avatar","Steven Quale"
"Avatar","Denis Villeneuve"
"Avatar","Sergei Bodrov Jr."
"Avatar","Brett Leonard"
"Avatar","Vincenzo Natali"
"Avatar","Gavin O'Connor"
"Avatar","Richard Attenborough"
"Avatar","Ava DuVernay"
"Avatar","Vadim Perelman"
"Avatar","François Girard"
"Avatar","Ekachai Uekrongtham"
"Avatar","Vipul Amrutlal Shah"
"Avatar","Rakeysh Omprakash Mehra"
"Avatar","Dagur Kári"
"Avatar","Michael D. Sellers"
"Avatar","Hue Rhodes"
"Avatar","Douglas Trumbull"
"Avatar","Levan Gabriadze"
"Pirates of the Caribbean: At World's End","Gore Verbinski"
"Pirates of the Caribbean: At World's End","Hue Rhodes"
"Spectre","Sam Mendes"
"Spectre","Bryan Singer"
"Spectre","Chris Weitz"
"Spectre","Shane Black"
"Spectre","Dan Scanlon"
"Spectre","Joseph Kosinski"
"Spectre","Peter Sohn"
"Spectre","Lilly Wachowski"
"Spectre","Conrad Vernon"
"Spectre","Stephen Sommers"
"Spectre","Rupert Sanders"
"Spectre","Robert Stromberg"
"Spectre","Matt Reeves"
"Spectre","Roland Joffé"
"Spectre","Carl Rinsch"
"Spectre","Chris Williams"
"Spectre","David Fincher"
"Spectre","Matthew Vaughn"
"Spectre","Francis Lawrence"
"Spectre","Jon Turteltaub"
"Spectre","Wolfgang Petersen"
"Spectre","Duncan Jones"
"Spectre","Alan Taylor"
"Spectre","Michael Apted"
"Spectre","Oliver Stone"
"Spectre","Gavin Hood"
"Spectre","Kenneth Branagh"
"Spectre","Hoyt Yeatman"
"Spectre","Christopher McQuarrie"
"Spectre","Jennifer Yuh Nelson"
"Spectre","Simon Wells"
"Spectre","David Bowers"
"Spectre","Joe Wright"
"Spectre","Lee Tamahori"
"Spectre","Alex Proyas"
"Spectre","Breck Eisner"
"Spectre","Louis Leterrier"
"Spectre","Paul Greengrass"
"Spectre","Phillip Noyce"
"Spectre","Ralph Zondag"
"Spectre","Tom McGrath"
"Spectre","Chris Columbus"
"Spectre","Robert Schwentke"
"Spectre","Tony Gilroy"
"Spectre","David Twohy"
"Spectre","José Padilha"
"Spectre","James Mangold"
"Spectre","Thomas Langmann"
"Spectre","Cedric Nicolas-Troyan"
"Spectre","Roger Spottiswoode"
"Spectre","Rob Letterman"
"Spectre","Michel Gondry"
"Spectre","Noam Murro"
"Spectre","Len Wiseman"
"Spectre","Bo Welch"
"Spectre","Peter Chelsom"
"Spectre","Dominic Sena"
"Spectre","Paul Weitz"
"Spectre","Gary Trousdale"
"Spectre","Stefen Fangmeier"
"Spectre","Chris Wedge"
"Spectre","Florian Henckel von Donnersmarck"
"Spectre","Peter Hyams"
"Spectre","Tom Tykwer"
"Spectre","Brad Silberling"
"Spectre","Patrick Hughes"
"Spectre","Ericson Core"
"Spectre","Lawrence Guterman"
"Spectre","Ash Brannon"
"Spectre","Frank Oz"
"Spectre","Don Michael Paul"
"Spectre","Sergei Bodrov"
"Spectre","Wally Pfister"
"Spectre","Mark Waters"
"Spectre","John Moore"
"Spectre","John Lee Hancock"
"Spectre","Timur Bekmambetov"
"Spectre","Dennis Dugan"
"Spectre","Thor Freudenthal"
"Spectre","Mick Jackson"
"Spectre","Alan J. Pakula"
"Spectre","Andrei Konchalovsky"
"Spectre","Gary Ross"
"Spectre","Paul W.S. Anderson"
"Spectre","Kevin Lima"
"Spectre","Daniel Espinosa"
"Spectre","Jill Culton"
"Spectre","Jean-Jacques Annaud"
"Spectre","Pete Travis"
"Spectre","Todd Phillips"
"Spectre","Mimi Leder"
