,player_name,left,right,team_name
0,Okaro White,Okaro White,Heat,Heat
1,E'Twaun Moore,E'Twaun Moore,Pelicans,Pelicans
2,Brook Lopez,Brook Lopez,Bucks,Bucks
3,Kevin Martin,Kevin Martin,Rockets,Rockets
4,Rudy Gay,Rudy Gay,Kings,Kings
5,Glen Davis,Glen Davis,Magic,Magic
6,Josh Richardson,Josh Richardson,76ers,76ers
7,Erick Green,Erick Green,Nuggets,Nuggets
8,Quincy Acy,Quincy Acy,Pacers,Pacers
9,Raul Neto,Raul Neto,Jazz,Jazz
10,Sergey Karasev,Sergey Karasev,Nets,Nets
11,Marquese Chriss,Marquese Chriss,Suns,Suns
12,Mike Miller,Mike Miller,Cavaliers,Cavaliers
13,Joe Johnson,Joe Johnson,Hawks,Hawks
14,Deron Williams,Deron Williams,Mavericks,Mavericks
15,Evan Turner,Evan Turner,Celtics,Celtics
16,Emmanuel Mudiay,Emmanuel Mudiay,Hornets,Hornets
17,Justise Winslow,Justise Winslow,Heat,Heat
18,DeAndre' Bembry,DeAndre' Bembry,76ers,76ers
19,Davis Bertans,Davis Bertans,Pacers,Pacers
