"Player Name","Team Name"
"Mike Miller","Heat"
"Mike Miller","Grizzlies"
"Mike Miller","Bucks"
"Quincy Acy","Spurs"
"Quincy Acy","Grizzlies"
"Quincy Acy","Pelicans"
"Quincy Acy","Rockets"
"Quincy Acy","Clippers"
"Quincy Acy","Kings"
"Quincy Acy","Warriors"
"Quincy Acy","Magic"
"Quincy Acy","76ers"
"Quincy Acy","Pacers"
"Quincy Acy","Jazz"
"Quincy Acy","Bulls"
"Quincy Acy","Nets"
"Quincy Acy","Timberwolves"
"Quincy Acy","Suns"
"Quincy Acy","Cavaliers"
"Quincy Acy","Pistons"
"Quincy Acy","Thunder"
"Quincy Acy","Hawks"
"Quincy Acy","Trail Blazers"
"Quincy Acy","Wizards"
"Quincy Acy","Raptors"
"Quincy Acy","Mavericks"
"Quincy Acy","Knicks"
"Quincy Acy","Celtics"
"Quincy Acy","Hornets"
"Joe Johnson","Nets"
"Joe Johnson","Hawks"
"Brook Lopez","Bucks"
"Brook Lopez","Magic"
"Brook Lopez","Nets"
"Deron Williams","Jazz"
"Deron Williams","Nets"
"Deron Williams","Mavericks"
"Glen Davis","Heat"
"Glen Davis","Pelicans"
"Glen Davis","Rockets"
"Glen Davis","Clippers"
"Glen Davis","76ers"
"Glen Davis","Wizards"
"Glen Davis","Celtics"
"Glen Davis","Hornets"
"Kevin Martin","Thunder"
"Rudy Gay","Grizzlies"
"Rudy Gay","Pelicans"
"Rudy Gay","Kings"
"Rudy Gay","Nuggets"
"Rudy Gay","Pacers"
"Rudy Gay","Timberwolves"
"Rudy Gay","Pistons"
"Rudy Gay","Thunder"
"Rudy Gay","Hawks"
"Rudy Gay","Trail Blazers"
"Rudy Gay","Wizards"
"Rudy Gay","Raptors"
"Rudy Gay","Knicks"
"Rudy Gay","Hornets"
"Justise Winslow","Heat"
"Justise Winslow","Grizzlies"
"Justise Winslow","Rockets"
"Justise Winslow","Magic"
"Justise Winslow","Jazz"
"Justise Winslow","Bulls"
"Justise Winslow","Pistons"
