"Game ID","name","Points","Assists","Total rebounds","Steals","Blocks"
"0","aaron","17","seven","15","two","null"
"0","al horford","17","seven","15","two","null"
"0","jeff teague","17","seven","15","two","null"
"0","kyle","17","seven","15","two","null"
"0","nikola vucevic","17","seven","15","two","null"
"1","brandon knight","16","four","12","null","null"
"1","cole aldrich","16","four","12","null","null"
"1","giannis antetokounmpo","16","four","12","null","null"
"1","j. r. smith","16","four","12","null","null"
"1","jason smith","16","four","12","null","null"
"1","tim hardaway","16","four","12","null","null"
"1","zaza pachulia","16","four","12","null","null"
"2","courtney lee","six","two","five","null","null"
"2","eric bledsoe","six","25","five","null","null"
"2","goran drag","six","25","five","null","null"
"2","isaiah thomas","six","two","five","null","null"
"2","marc gasol","six","two","five","null","null"
"2","markieff morris","six","two","five","null","null"
"2","mike conley","six","two","five","null","null"
"3","amir johnson","13","eight","three","two","three"
"3","andre drummond","13","eight","three","two","three"
"3","d. j. augustin","13","eight","three","two","null"
"3","demar derozan","13","eight","three","two","three"
"3","gr","35","eight","three","two","three"
"3","kentavious caldwell - pope","13","eight","three","two","null"
"3","monroe","13","eight","three","two","three"
"3","valnciunas","13","eight","three","two","three"
"3","vasquez","35","eight","three","two","three"
"4","andre drummond","10","three","seven","a","a"
"4","jabari parker","10","three","seven","a","a"
"4","khris middleton","10","three","seven","a","a"
"4","marcus morris","10","three","seven","a","a"
"4","miles plumlee","10","three","seven","a","a"
"4","monroe","10","three","seven","a","a"
"4","reggie jackson","10","three","seven","a","a"
"4","tobias harris","10","three","seven","a","a"
"5","giannis antetokounmpo","13","four","13","five","one"
"5","kevin love","13","four","13","five","one"
"5","kyrie irving","13","four","13","five","one"
"5","lebron","13","four","13","five","one"
"5","michael beasley","13","four","13","five","one"
"7","durant","15","seven","seven","null","a"
"7","giannis antetokounmpo","15","seven","seven","null","a"
"7","o. j. mayo","15","seven","seven","null","a"
"7","reggie jackson","15","seven","seven","null","one"
"7","russell westbrook","15","seven","seven","null","one"
"8","carmelo anthony","12","15","13","null","null"
"8","courtney lee","15","15","13","null","null"
"8","dennis schroder","12","15","13","null","null"
"8","dunleavy","12","15","13","null","null"
"8","dwight howard","12","15","13","null","null"
"8","jo","12","15","13","null","null"
"8","kent bazemore","12","15","13","null","null"
"8","kristaps porzingis","12","null","13","null","null"
"8","noah","12","15","13","null","null"
"8","paul mills","12","15","13","null","null"
"8","tim hardaway","12","15","13","null","null"
"9","griffin","21","ten","seven","three","null"
