"Game ID","name","Wins","Losses","Total points"
"0","atlanta hawks","46","12","95"
"0","orlando magic","19","41","88"
"1","milwaukee bucks","18","17","95"
"1","new york knicks","5","31","82"
"2","grizzlies","null","null","102"
"2","phoenix","null","null","91"
"3","detroit pistons","17","28","110"
"3","toronto raptors","29","15","114"
"4","24","30","29","91"
"4","detroit pistons","30","29","102"
"4","milwaukee bucks","24","35","91"
"5","cleveland cavaliers","13","3","101"
"5","milwaukee bucks","8","8","118"
"6","boston celtics","0","4","93"
"6","bulls","null","1","null"
"6","cleveland cavaliers","null","null","101"
"7","milwaukee bucks","11","12","101"
"7","oklahoma city thunder","8","13","114"
"8","atlanta","null","null","null"
"8","new york","null","null","null"
"10","los angeles lakers","14","53","87"
"10","new york knicks","28","40","90"
"11","milwaukee","null","null","null"
"11","raptors","null","null","null"
"12","memphis grizzlies","null","null","105"
"12","minnesota timberwolves","0","1","101"
"13","boston","null","null","null"
"13","brooklyn nets","37","42","117"
"13","washington wizards","45","34","80"
"14","los angeles lakers","15","58","88"
"14","washington wizards","36","37","101"
"15","cleveland cavaliers","53","29","113"
"15","washington wizards","46","36","108"
"16","denver nuggets","11","17","107"
"16","los angeles lakers","5","23","111"
"17","dallas mavericks","20","30","108"
"17","portland","22","29","104"
"18","miami heat","null","null","107"
"18","toronto raptors","2","1","102"
"19","clippers","null","null","null"
"20","magic","null","null","null"
"20","pacers","null","null","null"
"21","dallas mavericks","9","6","96"
"21","memphis grizzlies","8","7","110"
"22","dallas","null","null","null"
"22","rockets","null","null","null"
"23","nuggets","15","20","110"
"23","timberwolves","5","28","101"
"24","milwaukee bucks","34","33","84"
"24","new orleans pelicans","37","30","85"
"25","los angeles clippers","14","5","120"
"25","new orleans pelicans","8","10","100"
"26","indiana pacers","22","18","104"
"26","washington wizards","19","19","118"
"27","memphis grizzlies","37","24","94"
"27","utah","28","null","88"
"27","utah jazz","28","33","88"
"28","portland trail blazers","19","25","108"
"28","washington wizards","19","21","98"
"29","new york knicks","23","34","105"
"29","oklahoma city thunder","32","25","116"
"30","sacramento","null","32","90"
"30","utah jazz","18","33","102"
"31","charlotte hornets","19","22","124"
"31","utah jazz","18","23","119"
"32","cleveland cavaliers","19","8","83"
"32","golden state warriors","28","1","89"
"33","memphis grizzlies","31","12","101"
"33","philadelphia","8","36","83"
"34","dallas mavericks","null","null","97"
"34","san antonio spurs","14","null","null"
"35","houston rockets","null","null","108"
"35","miami heat","3","1","91"
"36","oklahoma city thunder","8","8","101"
"36","sacramento kings","null","null","116"
"37","minnesota timberwolves","14","49","97"
"37","phoenix suns","34","32","106"
"38","philadelphia 76ers","0","2","99"
"38","utah jazz","1","1","71"
"40","sacramento kings","null","null","96"
"40","toronto raptors","null","null","91"
"41","brooklyn nets","15","56","126"
"41","phoenix suns","null","50","18"
"43","chicago bulls","8","3","105"
"43","los angeles clippers","5","4","89"
"44","brooklyn nets","null","null","103"
"44","memphis grizzlies","34","23","112"
"45","houston rockets","null","null","109"
"45","miami heat","25","32","117"
"46","detroit","null","null","null"
"46","new orleans","null","null","null"
"47","denver nuggets","19","27","93"
"47","new orleans pelicans","24","22","85"
"49","houston rockets","40","17","133"
"49","phoenix suns","null","38","102"
