,player_name,_col_1
0,Mike Miller,26/08/1982
1,Quincy Acy,01/01/1990
2,Joe Johnson,06/24/1981
3,Brook Lopez,04/01/1988
4,Davis Bertans,19/10/1992
5,DeAndre' Bembry,01/04/1994
6,Okaro White,23/02/1993
7,Deron Williams,26/07/1984
8,Glen Davis,25/08/1986
9,Raul Neto,19/04/1992
10,Kevin Martin,01/06/1983
11,Rudy Gay,17/08/1986
12,Marquese Chriss,13/07/1997
13,Justise Winslow,12/26/1996
14,Emmanuel Mudiay,18/03/1996
15,Erick Green,23/02/1992
16,E'Twaun Moore,01/02/1991
17,Josh Richardson,23/09/1993
18,Sergey Karasev,14/06/1993
19,Evan Turner,10/10/1988
20,Isaiah Canaan,24/01/1991
21,Zoran Dragic,14/04/1989
22,Doug McDermott,18/08/1992
23,Ray McCallum,23/02/1991
24,Jusuf Nurkic,23/08/1994
25,Joel Anthony,11/08/1982
26,Cameron Payne,12/08/1994
27,Troy Williams,23/02/1994
28,Henry Sims,01/01/1990
29,Jarell Eddie,23/02/1990
30,A.J. Price,23/04/1986
31,Sebastian Telfair,13/06/1989
32,Francisco Garcia,23/12/1981
33,Patty Mills,13/08/1988
34,Omer Asik,01/07/1986
35,Kawhi Leonard,28/06/1991
36,Denzel Valentine,12/11/1993
37,Quincy Miller,23/02/1992
38,DeAndre Liggins,23/04/1985
39,Hollis Thompson,23/08/1991
40,Grant Jerrett,23/02/1996
41,Josh McRoberts,01/01/1987
42,Gary Harris,23/09/1994
43,Jonas Jerebko,09/03/1986
44,John Henson,12/10/1990
45,Kendall Marshall,19/01/1992
46,PJ Tucker,10/10/1985
47,Adreian Payne,02/03/1993
48,Nicolas Batum,07/04/1988
49,Marc Gasol,29/01/1985
