,player_name,_col_1
0,Mike Miller, 19/07/1985
1,Quincy Acy,04/07/1986
2,Joe Johnson,"To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

Given the names:
- Jerian Grant
- Jodie Meeks
- Joe Ingles
- Joe Johnson
- Joel Anthony

Their respective birthdates are (in the format DD/MM/YYYY):
- Jerian Grant: 09/10/1992
- Jodie Meeks: 21/08/1987
- Joe Ingles: 02/10/1987
- Joe Johnson: 29/06/1981
- Joel Anthony: 09/01/1982

So, the answer would be:
09/10/1992"
3,Brook Lopez," 01/04/1988

Please note, the actual birthdates might differ and should be verified from a reliable source. This example is purely illustrative based on the information given in the question."
4,Davis Bertans,08/04/1994
5,DeAndre' Bembry,"To answer this question, I would need access to the actual database or a list of birthdates for the players mentioned. However, based on publicly available information, here are the answers:


DeAndre Liggins - born March 31, 1988
DeAndre' Bembry - born July 4, 1994
Denzel Valentine - born November 16, 1993
Deron Williams - born June 26, 1984
Deyonta Davis - born December 2, 1996


So the answer in DD/MM/YYYY format would be:
31/03/1988"
6,Okaro White,01/29/1985
7,Deron Williams,16/11/1993
8,Glen Davis,"To answer this question, I would need access to a database containing the birthdates of basketball players. Since I don't have direct access to such databases, I'll provide an example based on publicly available information up to my last update in 2023.

Given the names:
- Gary Harris
- Glen Davis
- Grant Jerrett
- Henry Sims
- Hollis Thompson

Their respective birthdates are (in DD/MM/YYYY format):
- Gary Harris: 14/09/1994
- Glen Davis: 01/01/1986
- Grant Jerrett: 08/07/1993
- Henry Sims: 01/03/1990
- Hollis Thompson: 03/04/1991

So, the answer would be:
14/09/1994"
9,Raul Neto, 11/08/1988
10,Kevin Martin, 02/06/1991
11,Rudy Gay, 06/10/1990
12,Marquese Chriss, 01/02/1983
13,Justise Winslow,28/03/1991
14,Emmanuel Mudiay,"To answer this question, I would need access to the actual database or a list of player birthdates. However, based on publicly available information, here are the answers:


Elfrid Payton - 02/02/1994 (February 2, 1994)
Emmanuel Mudiay - 05/03/1996 (March 5, 1996)
Erick Green - 09/05/1991 (May 9, 1991)
Evan Turner - 27/10/1988 (October 27, 1988)
Francisco Garcia - 31/12/1981 (December 31, 1981)


So the answer would be: 
02/02/1994"
15,Erick Green,05/03/1996
16,E'Twaun Moore,17/01/1982
