"Game ID","name","Points"
"0","aaron gordon","17"
"0","al horford","17"
"0","jeff teague","17"
"0","kyle ko","17"
"0","nikola vucevic","17"
"1","brandon knight","15"
"1","cole aldrich","15"
"1","giannis antetokounmpo","10"
"1","hardaway","15"
"1","j. r. smith","15"
"1","kendall marshall","15"
"1","zaza pachulia","15"
"3","amir johnson","35"
"3","andre drummond","35"
"3","demar derozan","35"
"3","greg monroe","35"
"3","valnciunas","35"
"5","beasley","13"
"5","giannis antetokounmpo","13"
"5","kevin love","13"
"5","kyrie","13"
"5","lebron james","13"
"5","milwaukee bucks","13"
"7","bucks","15"
"7","durant","15"
"7","giannis antetokounmpo","15"
"7","ja","15"
"7","mayo","15"
"7","oklahoma","15"
"7","reggie jackson","15"
"7","russell westbrook","15"
"8","bazemore","12"
"8","carmelo anthony","12"
"8","courtney","12"
"8","dennis","13"
"8","dwight howard","12"
"8","joakim noah","13"
"8","kent","12"
"8","kristaps porzingis","12"
"8","kyle","12"
"8","mills","12"
"14","d ’ angelo russell","22"
"14","john wall","22"
"15","beal","20"
"15","bradley","20"
"15","kevin love","20"
"15","kevin seraphin","20"
"15","martell webster","20"
"15","matthew dellavedova","20"
"15","ramon sessions","20"
"15","rasual butler","20"
"15","shump","20"
"15","tristan thompson","20"
"19","chris paul","17"
"19","crawford","17"
"26","deju","21"
"26","george hill","21"
"26","lavoy allen","12"
"26","monta ellis","21"
"26","paul george","17"
"26","sessions","21"
"26","temple","17"
