,player_name
0,Mike Miller
1,Quincy Acy
2,Joe Johnson
3,Brook Lopez
5,DeAndre' Bembry
6,Okaro White
7,Deron Williams
8,Glen Davis
10,Kevin Martin
11,Rudy Gay
12,Marquese Chriss
13,Justise Winslow
15,Erick Green
16,E'Twaun Moore
17,Josh Richardson
19,Evan Turner
20,Isaiah Canaan
22,Doug McDermott
23,Ray McCallum
25,Joel Anthony
26,Cameron Payne
27,Troy Williams
28,Henry Sims
29,Jarell Eddie
30,A.J. Price
31,Sebastian Telfair
32,Francisco Garcia
35,Kawhi Leonard
36,Denzel Valentine
37,Quincy Miller
38,DeAndre Liggins
39,Hollis Thompson
40,Grant Jerrett
41,Josh McRoberts
42,Gary Harris
44,John Henson
45,Kendall Marshall
46,PJ Tucker
47,Adreian Payne
50,Chase Budinger
52,Kevon Looney
53,Rajon Rondo
55,Martell Webster
56,Brandon Jennings
58,Blake Griffin
59,Malcolm Brogdon
60,Perry Jones III
61,Kevin Durant
63,Ed Davis
64,Solomon Hill
65,Deyonta Davis
66,Shane Larkin
67,CJ Watson
68,Terry Rozier
69,Carl Landry
71,Reggie Williams
72,Robin Lopez
73,Russ Smith
74,J.J. Barea
75,Troy Daniels
76,Marcus Smart
77,Briante Weber
78,Danny Granger
79,Aaron Brooks
80,Dwyane Wade
81,Al-Farouq Aminu
82,Alan Anderson
83,Chris Copeland
84,Al Jefferson
85,Tarik Black
86,Chris McCullough
87,Elfrid Payton
88,LaMarcus Aldridge
89,Jason Terry
90,Patrick McCaw
92,Jordan McRae
93,Jeff Taylor
95,Jon Leuer
97,Jodie Meeks
98,Larry Drew II
99,Jerian Grant
