,player_name
0,Mike Miller
1,Quincy Acy
2,Joe Johnson
3,Brook Lopez
5,DeAndre' Bembry
6,Okaro White
7,Deron Williams
8,Glen Davis
10,Kevin Martin
11,Rudy Gay
12,Marquese Chriss
13,Justise Winslow
15,Erick Green
16,E'Twaun Moore
17,Josh Richardson
19,Evan Turner
20,Isaiah Canaan
22,Doug McDermott
23,Ray McCallum
26,Cameron Payne
27,Troy Williams
28,Henry Sims
29,Jarell Eddie
30,A.J. Price
31,Sebastian Telfair
32,Francisco Garcia
35,Kawhi Leonard
36,Denzel Valentine
37,Quincy Miller
38,DeAndre Liggins
39,Hollis Thompson
40,Grant Jerrett
41,Josh McRoberts
42,Gary Harris
44,John Henson
45,Kendall Marshall
46,PJ Tucker
47,Adreian Payne
50,Chase Budinger
52,Kevon Looney
53,Rajon Rondo
55,Martell Webster
56,Brandon Jennings
58,Blake Griffin
59,Malcolm Brogdon
60,Perry Jones III
61,Kevin Durant
63,Ed Davis
64,Solomon Hill
65,Deyonta Davis
66,Shane Larkin
67,CJ Watson
68,Terry Rozier
69,Carl Landry
71,Reggie Williams
72,Robin Lopez
73,Russ Smith
74,J.J. Barea
75,Troy Daniels
76,Marcus Smart
77,Briante Weber
78,Danny Granger
79,Aaron Brooks
80,Dwyane Wade
81,Al-Farouq Aminu
82,Alan Anderson
83,Chris Copeland
84,Al Jefferson
85,Tarik Black
86,Chris McCullough
87,Elfrid Payton
88,LaMarcus Aldridge
89,Jason Terry
90,Patrick McCaw
92,Jordan McRae
93,Jeff Taylor
95,Jon Leuer
97,Jodie Meeks
98,Larry Drew II
99,Jerian Grant
100,Yogi Ferrell
101,Tristan Thompson
102,Kyle Anderson
103,Markel Brown
104,Austin Daye
105,Malachi Richardson
106,Spencer Hawes
107,Marcus Morris
108,Shawn Marion
109,Alex Len
110,Taj Gibson
112,Larry Sanders
113,Allen Crabbe
115,Joey Dorsey
116,Kelly Oubre Jr.
118,Will Barton
119,Rashad Vaughn
120,Jeff Ayres
121,Shawn Long
124,DeAndre Jordan
125,Rodney Hood
126,Anthony Morrow
127,Karl-Anthony Towns
128,Jordan Hamilton
129,Corey Brewer
130,Sonny Weems
131,Eric Bledsoe
132,Ryan Hollins
133,Jason Richardson
135,Derrick Rose
136,CJ McCollum
137,John Wall
138,Kevin Garnett
139,Chasson Randle
140,Joe Harris
141,D.J. Augustin
143,Tony Wroten
144,Kyrie Irving
145,Stephen Curry
147,Ian Clark
149,Ryan Kelly
150,Jae Crowder
151,Festus Ezeli
152,James Harden
154,Channing Frye
155,Kenneth Faried
158,Brandan Wright
159,Patrick Beverley
162,O.J. Mayo
163,Brian Roberts
164,Caron Butler
165,Arron Afflalo
166,Darrun Hilliard
167,Clint Capela
168,Pablo Prigioni
169,Eric Gordon
170,James Michael McAdoo
172,Pierre Jackson
173,Hassan Whiteside
175,Cory Jefferson
176,Kelly Olynyk
178,Elijah Millsap
179,Greg Monroe
180,Dejounte Murray
181,Sheldon McClellan
182,Jonathon Simmons
183,Delon Wright
185,Beno Udrih
186,Kent Bazemore
187,Chandler Parsons
188,Tobias Harris
189,Anderson Varejao
190,Reggie Bullock
191,Will Bynum
192,Norris Cole
195,Tony Allen
196,Jeremy Lin
197,Marcus Thornton
198,Wesley Matthews
199,Darren Collison
200,Jerami Grant
202,Tyus Jones
203,Willie Green
204,Reggie Evans
205,Larry Nance Jr.
206,Austin Rivers
207,T.J. McConnell
208,Sean Kilpatrick
209,Fred VanVleet
210,Vince Carter
211,Jabari Parker
212,Paul George
213,Amar'e Stoudemire
214,Khris Middleton
215,Robbie Hummel
216,Tyler Hansbrough
217,Matt Bonner
218,Archie Goodwin
219,Kenyon Martin
221,Lou Amundson
223,Andre Miller
225,KJ McDaniels
226,Jeff Green
227,PJ Hairston
229,Nick Calathes
230,Dewayne Dedmon
231,David Lee
232,Shawne Williams
235,Cole Aldrich
236,Brandon Rush
238,Ronnie Price
239,Chris Paul
240,Willie Cauley-Stein
241,D'Angelo Russell
242,Johnny O'Bryant III
243,DeMar DeRozan
244,Andre Iguodala
246,Dwight Buycks
247,Elton Brand
248,Cleanthony Early
249,Gordon Hayward
