,player_name
1,Quincy Acy
2,Joe Johnson
3,Brook Lopez
5,DeAndre' Bembry
7,Deron Williams
8,Glen Davis
10,Kevin Martin
13,Justise Winslow
16,E'Twaun Moore
17,Josh Richardson
19,Evan Turner
20,Isaiah Canaan
22,Doug McDermott
23,Ray McCallum
26,Cameron Payne
27,Troy Williams
28,Henry Sims
30,A.J. Price
31,Sebastian Telfair
36,Denzel Valentine
37,Quincy Miller
38,DeAndre Liggins
39,Hollis Thompson
40,Grant Jerrett
42,Gary Harris
45,Kendall Marshall
50,Chase Budinger
52,Kevon Looney
53,Rajon Rondo
55,Martell Webster
58,Blake Griffin
59,Malcolm Brogdon
60,Perry Jones III
61,Kevin Durant
64,Solomon Hill
65,Deyonta Davis
66,Shane Larkin
67,CJ Watson
68,Terry Rozier
69,Carl Landry
72,Robin Lopez
73,Russ Smith
75,Troy Daniels
76,Marcus Smart
77,Briante Weber
78,Danny Granger
79,Aaron Brooks
80,Dwyane Wade
83,Chris Copeland
84,Al Jefferson
85,Tarik Black
87,Elfrid Payton
89,Jason Terry
90,Patrick McCaw
92,Jordan McRae
97,Jodie Meeks
98,Larry Drew II
99,Jerian Grant
