,filename,contents
0,player87.txt,Elfrid Payton
1,player89.txt,Jason Terry
2,player60.txt,Perry Jones III
3,player68.txt,Terry Rozier
4,player7.txt,Deron Williams
5,player22.txt,Doug McDermott
6,player80.txt,Dwyane Wade
7,player31.txt,Sebastian Telfair
8,player36.txt,Denzel Valentine
9,player13.txt,Justise Winslow
10,player61.txt,Kevin Durant
11,player76.txt,Marcus Smart
12,player35.txt,Kawhi Leonard
13,player3.txt,Brook Lopez
14,player53.txt,Rajon Rondo
15,player55.txt,Martell Webster
16,player58.txt,Blake Griffin
17,player59.txt,Malcolm Brogdon
