,filename,contents
0,player76.txt,Marcus Smart
1,player59.txt,Malcolm Brogdon
2,player61.txt,Kevin Durant
3,player22.txt,Doug McDermott
4,player60.txt,Perry Jones III
5,player31.txt,Sebastian Telfair
6,player3.txt,Brook Lopez
7,player35.txt,Kawhi Leonard
8,player58.txt,Blake Griffin
9,player80.txt,Dwyane Wade
10,player87.txt,Elfrid Payton
11,player89.txt,Jason Terry
12,player7.txt,Deron Williams
13,player53.txt,Rajon Rondo
14,player13.txt,Justise Winslow
15,player55.txt,Martell Webster
16,player68.txt,Terry Rozier
17,player36.txt,Denzel Valentine
