,filename,contents
0,player437.txt,Patrick Patterson
1,player480.txt,JR Smith
2,player20.txt,Isaiah Canaan
3,player238.txt,Ronnie Price
4,player413.txt,Markieff Morris
5,player280.txt,Jimmy Butler
6,player202.txt,Tyus Jones
7,player204.txt,Reggie Evans
8,player411.txt,Jarrett Jack
9,player414.txt,Victor Oladipo
10,player410.txt,Jabari Brown
11,player106.txt,Spencer Hawes
12,player206.txt,Austin Rivers
13,player242.txt,Johnny O'Bryant III
14,player235.txt,Cole Aldrich
15,player288.txt,JJ Hickson
16,player443.txt,Jeff Teague
17,player105.txt,Malachi Richardson
18,player207.txt,T.J. McConnell
19,player115.txt,Joey Dorsey
20,player286.txt,Michael Kidd-Gilchrist
21,player241.txt,D'Angelo Russell
22,player87.txt,Elfrid Payton
23,player282.txt,DeJuan Blair
24,player438.txt,Metta World Peace
25,player86.txt,Chris McCullough
26,player236.txt,Brandon Rush
27,player239.txt,Chris Paul
28,player417.txt,Anthony Davis
29,player240.txt,Willie Cauley-Stein
30,player146.txt,Tony Parker
31,player279.txt,Anthony Tolliver
32,player205.txt,Larry Nance Jr.
33,player479.txt,Dante Cunningham
34,player145.txt,Stephen Curry
35,player88.txt,LaMarcus Aldridge
36,player285.txt,Nate Wolters
37,player439.txt,Ramon Sessions
38,player200.txt,Jerami Grant
39,player41.txt,Josh McRoberts
40,player284.txt,Lance Thomas
41,player281.txt,JJ Redick
42,player418.txt,Kevin Love
43,player116.txt,Kelly Oubre Jr.
44,player147.txt,Ian Clark
45,player289.txt,Kay Felder
46,player208.txt,Sean Kilpatrick
47,player243.txt,DeMar DeRozan
48,player128.txt,Jordan Hamilton
49,player445.txt,Brandon Knight
50,player209.txt,Fred VanVleet
51,player244.txt,Andre Iguodala
52,player42.txt,Gary Harris
53,player446.txt,Carmelo Anthony
54,player129.txt,Corey Brewer
55,player420.txt,Matt Barnes
56,player447.txt,Zach Randolph
57,player13.txt,Justise Winslow
58,player210.txt,Vince Carter
59,player246.txt,Dwight Buycks
60,player421.txt,Willie Reed
61,player150.txt,Jae Crowder
62,player448.txt,Avery Bradley
63,player130.txt,Sonny Weems
64,player211.txt,Jabari Parker
65,player247.txt,Elton Brand
66,player422.txt,Robert Covington
67,player131.txt,Eric Bledsoe
68,player248.txt,Cleanthony Early
69,player152.txt,James Harden
70,player45.txt,Kendall Marshall
71,player132.txt,Ryan Hollins
72,player249.txt,Gordon Hayward
73,player424.txt,Paul Pierce
74,player133.txt,Jason Richardson
75,player154.txt,Channing Frye
76,player426.txt,Mitch McGary
77,player251.txt,Gary Neal
78,player427.txt,JaKarr Sampson
79,player103.txt,Markel Brown
80,player252.txt,Ben Gordon
81,player428.txt,Drew Gooden
82,player104.txt,Austin Daye
83,player169.txt,Eric Gordon
84,player253.txt,Miles Plumlee
85,player17.txt,Josh Richardson
86,player455.txt,Danny Green
87,player254.txt,Sam Dekker
88,player356.txt,Noah Vonleh
89,player170.txt,James Michael McAdoo
90,player456.txt,Monta Ellis
91,player357.txt,TJ Warren
92,player457.txt,Al Horford
93,player458.txt,DeMarcus Cousins
94,player113.txt,Allen Crabbe
95,player173.txt,Hassan Whiteside
96,player359.txt,Jordan Clarkson
97,player36.txt,Denzel Valentine
98,player46.txt,PJ Tucker
99,player255.txt,Marcelo Huertas
100,player175.txt,Cory Jefferson
101,player212.txt,Paul George
102,player460.txt,Brandon Davies
103,player361.txt,Julius Randle
104,player461.txt,DeMarre Carroll
105,player135.txt,Derrick Rose
106,player155.txt,Kenneth Faried
107,player462.txt,Trey Burke
108,player213.txt,Amar'e Stoudemire
109,player29.txt,Jarell Eddie
110,player178.txt,Elijah Millsap
111,player214.txt,Khris Middleton
112,player363.txt,Devin Booker
113,player463.txt,Jahlil Okafor
114,player136.txt,CJ McCollum
115,player215.txt,Robbie Hummel
116,player364.txt,Glenn Robinson III
117,player464.txt,Richaun Holmes
118,player107.txt,Marcus Morris
119,player137.txt,John Wall
120,player216.txt,Tyler Hansbrough
121,player60.txt,Perry Jones III
122,player138.txt,Kevin Garnett
123,player158.txt,Brandan Wright
124,player366.txt,Frank Kaminsky
125,player466.txt,Derrick Favors
126,player139.txt,Chasson Randle
127,player159.txt,Patrick Beverley
128,player292.txt,Aaron Gordon
129,player367.txt,Kentavious Caldwell-Pope
130,player108.txt,Shawn Marion
131,player467.txt,Zach LaVine
132,player61.txt,Kevin Durant
133,player293.txt,Ben McLemore
134,player368.txt,Kyle Korver
135,player294.txt,Rodney Stuckey
136,player369.txt,Maurice Harkless
137,player469.txt,Rakeem Christmas
138,player47.txt,Adreian Payne
139,player64.txt,Solomon Hill
140,player296.txt,Landry Fields
141,player370.txt,Dorian Finney-Smith
142,player470.txt,Kyle O'Quinn
143,player65.txt,Deyonta Davis
144,player66.txt,Shane Larkin
145,player257.txt,Jordan Hill
146,player372.txt,Semaj Christon
147,player472.txt,Devin Harris
