,filename,contents
0,player136.txt,CJ McCollum
1,player135.txt,Derrick Rose
2,player400.txt,Jaylen Brown
3,player474.txt,Chris Johnson
4,player270.txt,Kobe Bryant
5,player154.txt,Channing Frye
6,player472.txt,Devin Harris
7,player342.txt,Mike Dunleavy
8,player186.txt,Kent Bazemore
9,player116.txt,Kelly Oubre Jr.
10,player341.txt,Cheick Diallo
11,player192.txt,Norris Cole
12,player130.txt,Sonny Weems
13,player53.txt,Rajon Rondo
14,player150.txt,Jae Crowder
15,player344.txt,Thaddeus Young
16,player207.txt,T.J. McConnell
17,player399.txt,Malcolm Delaney
18,player498.txt,Dion Waiters
19,player208.txt,Sean Kilpatrick
20,player497.txt,Shabazz Napier
21,player52.txt,Kevon Looney
22,player131.txt,Eric Bledsoe
23,player191.txt,Will Bynum
24,player190.txt,Reggie Bullock
25,player5.txt,DeAndre' Bembry
26,player398.txt,Steve Novak
27,player132.txt,Ryan Hollins
28,player267.txt,Dorell Wright
29,player1.txt,Quincy Acy
30,player137.txt,John Wall
31,player476.txt,Jeff Withey
32,player401.txt,Shabazz Muhammad
33,player138.txt,Kevin Garnett
34,player155.txt,Kenneth Faried
35,player209.txt,Fred VanVleet
36,player274.txt,Terrence Ross
37,player403.txt,Andre Drummond
38,player139.txt,Chasson Randle
39,player478.txt,Jared Sullinger
40,player404.txt,Andre Roberson
41,player405.txt,Draymond Green
42,player479.txt,Dante Cunningham
43,player210.txt,Vince Carter
44,player113.txt,Allen Crabbe
45,player159.txt,Patrick Beverley
46,player406.txt,Jimmer Fredette
47,player211.txt,Jabari Parker
48,player407.txt,Glenn Robinson
49,player481.txt,Jordan Farmar
50,player16.txt,E'Twaun Moore
51,player212.txt,Paul George
52,player408.txt,Nick Johnson
53,player7.txt,Deron Williams
54,player213.txt,Amar'e Stoudemire
55,player482.txt,Alonzo Gee
56,player41.txt,Josh McRoberts
57,player196.txt,Jeremy Lin
58,player215.txt,Robbie Hummel
59,player72.txt,Robin Lopez
60,player108.txt,Shawn Marion
61,player485.txt,Henry Walker
62,player218.txt,Archie Goodwin
63,player413.txt,Markieff Morris
64,player75.txt,Troy Daniels
65,player2.txt,Joe Johnson
66,player219.txt,Kenyon Martin
67,player488.txt,Jeremy Lamb
68,player348.txt,Ricky Ledo
69,player76.txt,Marcus Smart
70,player120.txt,Jeff Ayres
71,player20.txt,Isaiah Canaan
72,player22.txt,Doug McDermott
73,player77.txt,Briante Weber
74,player200.txt,Jerami Grant
75,player349.txt,Chris Andersen
76,player363.txt,Devin Booker
77,player78.txt,Danny Granger
78,player35.txt,Kawhi Leonard
79,player490.txt,JaMychal Green
80,player364.txt,Glenn Robinson III
81,player350.txt,Marreese Speights
82,player491.txt,Udonis Haslem
83,player55.txt,Martell Webster
84,player351.txt,Dahntay Jones
85,player8.txt,Glen Davis
86,player80.txt,Dwyane Wade
87,player366.txt,Frank Kaminsky
88,player493.txt,Shelvin Mack
89,player81.txt,Al-Farouq Aminu
90,player58.txt,Blake Griffin
91,player369.txt,Maurice Harkless
92,player124.txt,DeAndre Jordan
93,player59.txt,Malcolm Brogdon
94,player422.txt,Robert Covington
95,player125.txt,Rodney Hood
96,player141.txt,D.J. Augustin
97,player370.txt,Dorian Finney-Smith
98,player60.txt,Perry Jones III
99,player143.txt,Tony Wroten
100,player61.txt,Kevin Durant
101,player424.txt,Paul Pierce
102,player144.txt,Kyrie Irving
103,player145.txt,Stephen Curry
104,player36.txt,Denzel Valentine
105,player162.txt,O.J. Mayo
106,player374.txt,Iman Shumpert
107,player427.txt,JaKarr Sampson
108,player64.txt,Solomon Hill
109,player414.txt,Victor Oladipo
110,player361.txt,Julius Randle
111,player428.txt,Drew Gooden
112,player164.txt,Caron Butler
113,player376.txt,Otto Porter
114,player66.txt,Shane Larkin
115,player165.txt,Arron Afflalo
116,player377.txt,Alex Stepheson
117,player166.txt,Darrun Hilliard
118,player67.txt,CJ Watson
119,player68.txt,Terry Rozier
120,player167.txt,Clint Capela
121,player431.txt,Caris LeVert
122,player126.txt,Anthony Morrow
123,player380.txt,Damian Lillard
124,player127.txt,Karl-Anthony Towns
125,player278.txt,Brandon Bass
126,player381.txt,Jrue Holiday
127,player205.txt,Larry Nance Jr.
128,player225.txt,KJ McDaniels
129,player129.txt,Corey Brewer
130,player226.txt,Jeff Green
131,player383.txt,JaVale McGee
132,player280.txt,Jimmy Butler
133,player247.txt,Elton Brand
134,player302.txt,Lance Stephenson
135,player227.txt,PJ Hairston
136,player248.txt,Cleanthony Early
137,player281.txt,JJ Redick
138,player303.txt,Bryce Dejean-Jones
139,player385.txt,Carlos Boozer
140,player282.txt,DeJuan Blair
141,player438.txt,Metta World Peace
142,player87.txt,Elfrid Payton
143,player44.txt,John Henson
144,player307.txt,Cody Zeller
145,player89.txt,Jason Terry
146,player106.txt,Spencer Hawes
147,player286.txt,Michael Kidd-Gilchrist
148,player90.txt,Patrick McCaw
149,player92.txt,Jordan McRae
150,player289.txt,Kay Felder
151,player31.txt,Sebastian Telfair
152,player23.txt,Ray McCallum
153,player97.txt,Jodie Meeks
154,player230.txt,Dewayne Dedmon
155,player316.txt,Trevor Ariza
156,player317.txt,Gerald Henderson
157,player99.txt,Jerian Grant
158,player318.txt,Buddy Hield
159,player319.txt,CJ Miles
160,player457.txt,Al Horford
161,player170.txt,James Michael McAdoo
162,player458.txt,DeMarcus Cousins
163,player321.txt,Wilson Chandler
164,player459.txt,George Hill
165,player322.txt,Justin Anderson
166,player46.txt,PJ Tucker
167,player443.txt,Jeff Teague
168,player461.txt,DeMarre Carroll
169,player0.txt,Mike Miller
170,player311.txt,Alec Burks
171,player462.txt,Trey Burke
172,player326.txt,Mario Chalmers
173,player446.txt,Carmelo Anthony
174,player463.txt,Jahlil Okafor
175,player327.txt,Gerald Green
176,player447.txt,Zach Randolph
177,player464.txt,Richaun Holmes
178,player178.txt,Elijah Millsap
179,player448.txt,Avery Bradley
180,player314.txt,Seth Curry
181,player386.txt,Trevor Booker
182,player315.txt,LeBron James
183,player467.txt,Zach LaVine
184,player330.txt,Ty Lawson
185,player387.txt,Norman Powell
186,player331.txt,Bobby Portis
187,player388.txt,Rondae Hollis-Jefferson
188,player469.txt,Rakeem Christmas
189,player294.txt,Rodney Stuckey
190,player332.txt,Mason Plumlee
191,player333.txt,Luke Babbitt
192,player39.txt,Hollis Thompson
193,player470.txt,Kyle O'Quinn
194,player296.txt,Landry Fields
195,player297.txt,Trey Lyles
196,player335.txt,Mike Conley
197,player336.txt,Rasual Butler
198,player391.txt,Justin Holiday
199,player337.txt,Mo Williams
200,player249.txt,Gordon Hayward
201,player338.txt,Jared Dudley
202,player394.txt,Isaiah Whitehead
203,player180.txt,Dejounte Murray
204,player25.txt,Joel Anthony
205,player395.txt,Tyler Zeller
206,player339.txt,Isaiah Thomas
207,player110.txt,Taj Gibson
208,player396.txt,Spencer Dinwiddie
209,player253.txt,Miles Plumlee
210,player254.txt,Sam Dekker
211,player259.txt,Meyers Leonard
212,player26.txt,Cameron Payne
213,player260.txt,Kirk Hinrich
214,player239.txt,Chris Paul
215,player264.txt,Michael Carter-Williams
216,player265.txt,Klay Thompson
217,player242.txt,Johnny O'Bryant III
218,player299.txt,James Ennis III
219,player243.txt,DeMar DeRozan
220,player3.txt,Brook Lopez
221,player244.txt,Andre Iguodala
222,player100.txt,Yogi Ferrell
223,player30.txt,A.J. Price
224,player300.txt,Tim Hardaway Jr.
225,player246.txt,Dwight Buycks
