"filename","contents"
"player58.txt","Blake Griffin"
"player31.txt","Sebastian Telfair"
"player59.txt","Malcolm Brogdon"
"player22.txt","Doug McDermott"
"player61.txt","Kevin Durant"
"player89.txt","Jason Terry"
"player3.txt","Brook Lopez"
"player60.txt","Perry Jones III"
"player80.txt","Dwyane Wade"
"player53.txt","Rajon Rondo"
"player35.txt","Kawhi Leonard"
"player55.txt","Martell Webster"
"player36.txt","Denzel Valentine"
"player13.txt","Justise Winslow"
"player68.txt","Terry Rozier"
"player76.txt","Marcus Smart"
"player7.txt","Deron Williams"
"player87.txt","Elfrid Payton"
